method	superstring	mask	genome	k	alg	len	runs	kmer_count	LB_runs	LB_length	run_penalty
eulertigs	445033040	18309185	E.coli pg.	15	optimal simplitigs	445033040	18309185	188704463	26509	226751074	NA
greedy-maxone	226751093	11322640	E.coli pg.	15	greedyMS-maxone	226751093	11322640	188704463	26509	226751074	NA
greedy-minone	226751093	18309191	E.coli pg.	15	greedyMS-minone	226751093	18309191	188704463	26509	226751074	NA
greedy-minrun	226751093	10299669	E.coli pg.	15	greedyMS-minrun	226751093	10299669	188704463	26509	226751074	NA
joint-1	227286329	8259167	E.coli pg.	15	joint-1	227286329	8259167	188704463	26509	226751074	1
joint-250	245949588	26514	E.coli pg.	15	joint-250	245949588	26514	188704463	26509	226751074	250
joint-30	245806567	33357	E.coli pg.	15	joint-30	245806567	33357	188704463	26509	226751074	30
joint-400	245949588	26514	E.coli pg.	15	joint-400	245949588	26514	188704463	26509	226751074	400
joint-70	245916027	27954	E.coli pg.	15	joint-70	245916027	27954	188704463	26509	226751074	70
joint-7	240802134	519817	E.coli pg.	15	joint-7	240802134	519817	188704463	26509	226751074	7
matchtigs	257392990	86938	E.coli pg.	15	greedy matchtigs	257392990	86938	188704463	26509	226751074	NA
simplitigs	445033096	18309189	E.coli pg.	15	greedy simplitigs	445033096	18309189	188704463	26509	226751074	NA
unitigs	2344691710	153999090	E.coli pg.	15	unitigs	2344691710	153999090	188704463	26509	226751074	NA
eulertigs	702634992	8301532	E.coli pg.	31	optimal simplitigs	702634992	8301532	453589061	319608	556307105	NA
greedy-maxone	556324986	4060681	E.coli pg.	31	greedyMS-maxone	556324986	4060681	453589061	319608	556307105	NA
greedy-minone	556324986	8302035	E.coli pg.	31	greedyMS-minone	556324986	8302035	453589061	319608	556307105	NA
greedy-minrun	556324986	4037432	E.coli pg.	31	greedyMS-minrun	556324986	4037432	453589061	319608	556307105	NA
joint-1	556401202	3998418	E.coli pg.	31	joint-1	556401202	3998418	453589061	319608	556307105	1
joint-250	706779391	1147561	E.coli pg.	31	joint-250	706779391	1147561	453589061	319608	556307105	250
joint-30	573186661	2597418	E.coli pg.	31	joint-30	573186661	2597418	453589061	319608	556307105	30
joint-400	776764209	922450	E.coli pg.	31	joint-400	776764209	922450	453589061	319608	556307105	400
joint-70	604967355	1916236	E.coli pg.	31	joint-70	604967355	1916236	453589061	319608	556307105	70
joint-7	557854922	3506534	E.coli pg.	31	joint-7	557854922	3506534	453589061	319608	556307105	7
matchtigs	608557416	2901946	E.coli pg.	31	greedy matchtigs	608557416	2901946	453589061	319608	556307105	NA
simplitigs	702651252	8302074	E.coli pg.	31	greedy simplitigs	702651252	8302074	453589061	319608	556307105	NA
unitigs	1243002312	26313776	E.coli pg.	31	unitigs	1243002312	26313776	453589061	319608	556307105	NA
eulertigs	1285256193	8467956	E.coli pg.	63	optimal simplitigs	1285256193	8467956	760242982	551433	999374554	NA
greedy-maxone	999416728	3701288	E.coli pg.	63	greedyMS-maxone	999416728	3701288	760242982	551433	999374554	NA
greedy-minone	999416728	8468288	E.coli pg.	63	greedyMS-minone	999416728	8468288	760242982	551433	999374554	NA
greedy-minrun	999416728	3676230	E.coli pg.	63	greedyMS-minrun	999416728	3676230	760242982	551433	999374554	NA
joint-1	999444083	3698087	E.coli pg.	63	joint-1	999444083	3698087	760242982	551433	999374554	1
joint-250	1137134081	1691427	E.coli pg.	63	joint-250	1137134081	1691427	760242982	551433	999374554	250
joint-30	1008658148	2937568	E.coli pg.	63	joint-30	1008658148	2937568	760242982	551433	999374554	30
joint-400	1219655508	1428773	E.coli pg.	63	joint-400	1219655508	1428773	760242982	551433	999374554	400
joint-70	1031991551	2445292	E.coli pg.	63	joint-70	1031991551	2445292	760242982	551433	999374554	70
joint-7	1000087403	3443802	E.coli pg.	63	joint-7	1000087403	3443802	760242982	551433	999374554	7
matchtigs	1077352339	2838862	E.coli pg.	63	greedy matchtigs	1077352339	2838862	760242982	551433	999374554	NA
simplitigs	1285277397	8468298	E.coli pg.	63	greedy simplitigs	1285277397	8468298	760242982	551433	999374554	NA
unitigs	2394712031	26362405	E.coli pg.	63	unitigs	2394712031	26362405	760242982	551433	999374554	NA
eulertigs	10110380	248287	S.pneumo. pg.	15	optimal simplitigs	10110380	248287	6634375	26	7534339	NA
greedy-maxone	7534526	144944	S.pneumo. pg.	15	greedyMS-maxone	7534526	144944	6634375	26	7534339	NA
greedy-minone	7534526	248316	S.pneumo. pg.	15	greedyMS-minone	7534526	248316	6634375	26	7534339	NA
greedy-minrun	7534526	137952	S.pneumo. pg.	15	greedyMS-minrun	7534526	137952	6634375	26	7534339	NA
joint-128	9900395	567	S.pneumo. pg.	15	joint-128	9900395	567	6634375	26	7534339	128
joint-16	8002980	52014	S.pneumo. pg.	15	joint-16	8002980	52014	6634375	26	7534339	16
joint-1	7538205	126647	S.pneumo. pg.	15	joint-1	7538205	126647	6634375	26	7534339	1
joint-256	9977622	29	S.pneumo. pg.	15	joint-256	9977622	29	6634375	26	7534339	256
joint-2	7548796	112998	S.pneumo. pg.	15	joint-2	7548796	112998	6634375	26	7534339	2
joint-32	8635383	24336	S.pneumo. pg.	15	joint-32	8635383	24336	6634375	26	7534339	32
joint-4	7586995	98170	S.pneumo. pg.	15	joint-4	7586995	98170	6634375	26	7534339	4
joint-512	9978177	27	S.pneumo. pg.	15	joint-512	9978177	27	6634375	26	7534339	512
joint-64	9434914	6178	S.pneumo. pg.	15	joint-64	9434914	6178	6634375	26	7534339	64
joint-8	7699237	78257	S.pneumo. pg.	15	joint-8	7699237	78257	6634375	26	7534339	8
matchtigs	8565261	65396	S.pneumo. pg.	15	greedy matchtigs	8565261	65396	6634375	26	7534339	NA
simplitigs	10110716	248311	S.pneumo. pg.	15	greedy simplitigs	10110716	248311	6634375	26	7534339	NA
unitigs	24319974	1263258	S.pneumo. pg.	15	unitigs	24319974	1263258	6634375	26	7534339	NA
eulertigs	14359547	157942	S.pneumo. pg.	31	optimal simplitigs	14359547	157942	9621316	89	11968858	NA
greedy-maxone	11969688	82855	S.pneumo. pg.	31	greedyMS-maxone	11969688	82855	9621316	89	11968858	NA
greedy-minone	11969688	157961	S.pneumo. pg.	31	greedyMS-minone	11969688	157961	9621316	89	11968858	NA
greedy-minrun	11969688	82720	S.pneumo. pg.	31	greedyMS-minrun	11969688	82720	9621316	89	11968858	NA
joint-1	11970424	80997	S.pneumo. pg.	31	joint-1	11970424	80997	9621316	89	11968858	1
joint-128	14216466	23249	S.pneumo. pg.	31	joint-128	14216466	23249	9621316	89	11968858	128
joint-16	12103465	63113	S.pneumo. pg.	31	joint-16	12103465	63113	9621316	89	11968858	16
joint-2	11972322	79078	S.pneumo. pg.	31	joint-2	11972322	79078	9621316	89	11968858	2
joint-256	15886880	13972	S.pneumo. pg.	31	joint-256	15886880	13972	9621316	89	11968858	256
joint-32	12400904	50336	S.pneumo. pg.	31	joint-32	12400904	50336	9621316	89	11968858	32
joint-4	11980240	76165	S.pneumo. pg.	31	joint-4	11980240	76165	9621316	89	11968858	4
joint-512	17980871	8152	S.pneumo. pg.	31	joint-512	17980871	8152	9621316	89	11968858	512
joint-64	13055955	36044	S.pneumo. pg.	31	joint-64	13055955	36044	9621316	89	11968858	64
joint-8	12008433	71267	S.pneumo. pg.	31	joint-8	12008433	71267	9621316	89	11968858	8
matchtigs	12812401	64948	S.pneumo. pg.	31	greedy matchtigs	12812401	64948	9621316	89	11968858	NA
simplitigs	14360057	157959	S.pneumo. pg.	31	greedy simplitigs	14360057	157959	9621316	89	11968858	NA
unitigs	24099767	482616	S.pneumo. pg.	31	unitigs	24099767	482616	9621316	89	11968858	NA
eulertigs	23490314	142924	S.pneumo. pg.	63	optimal simplitigs	23490314	142924	14629087	2184	19259588	NA
greedy-maxone	19260471	63931	S.pneumo. pg.	63	greedyMS-maxone	19260471	63931	14629087	2184	19259588	NA
greedy-minone	19260471	142938	S.pneumo. pg.	63	greedyMS-minone	19260471	142938	14629087	2184	19259588	NA
greedy-minrun	19260471	63666	S.pneumo. pg.	63	greedyMS-minrun	19260471	63666	14629087	2184	19259588	NA
joint-1	19261468	63177	S.pneumo. pg.	63	joint-1	19261468	63177	14629087	2184	19259588	1
joint-128	20845178	30024	S.pneumo. pg.	63	joint-128	20845178	30024	14629087	2184	19259588	128
joint-16	19316924	55819	S.pneumo. pg.	63	joint-16	19316924	55819	14629087	2184	19259588	16
joint-2	19262143	62346	S.pneumo. pg.	63	joint-2	19262143	62346	14629087	2184	19259588	2
joint-256	22540722	20710	S.pneumo. pg.	63	joint-256	22540722	20710	14629087	2184	19259588	256
joint-32	19464187	49540	S.pneumo. pg.	63	joint-32	19464187	49540	14629087	2184	19259588	32
joint-4	19264812	61319	S.pneumo. pg.	63	joint-4	19264812	61319	14629087	2184	19259588	4
joint-512	25074976	13738	S.pneumo. pg.	63	joint-512	25074976	13738	14629087	2184	19259588	512
joint-64	19892589	40315	S.pneumo. pg.	63	joint-64	19892589	40315	14629087	2184	19259588	64
joint-8	19276131	59348	S.pneumo. pg.	63	joint-8	19276131	59348	14629087	2184	19259588	8
matchtigs	20320066	52610	S.pneumo. pg.	63	greedy matchtigs	20320066	52610	14629087	2184	19259588	NA
simplitigs	23491244	142939	S.pneumo. pg.	63	greedy simplitigs	23491244	142939	14629087	2184	19259588	NA
unitigs	41627174	435454	S.pneumo. pg.	63	unitigs	41627174	435454	14629087	2184	19259588	NA
eulertigs	10086048	346146	SC2 pg.	15	optimal simplitigs	10086048	346146	5240017	16497	6651879	NA
greedy-maxone	6651902	305278	SC2 pg.	15	greedyMS-maxone	6651902	305278	5240017	16497	6651879	NA
greedy-minone	6651902	346150	SC2 pg.	15	greedyMS-minone	6651902	346150	5240017	16497	6651879	NA
greedy-minrun	6651902	276562	SC2 pg.	15	greedyMS-minrun	6651902	276562	5240017	16497	6651879	NA
joint-128	8405640	18725	SC2 pg.	15	joint-128	8405640	18725	5240017	16497	6651879	128
joint-1	6657903	265477	SC2 pg.	15	joint-1	6657903	265477	5240017	16497	6651879	1
joint-16	7420267	61049	SC2 pg.	15	joint-16	7420267	61049	5240017	16497	6651879	16
joint-256	8444213	17667	SC2 pg.	15	joint-256	8444213	17667	5240017	16497	6651879	256
joint-2	6711036	200207	SC2 pg.	15	joint-2	6711036	200207	5240017	16497	6651879	2
joint-32	8056090	29462	SC2 pg.	15	joint-32	8056090	29462	5240017	16497	6651879	32
joint-4	6827584	138551	SC2 pg.	15	joint-4	6827584	138551	5240017	16497	6651879	4
joint-512	8466688	16980	SC2 pg.	15	joint-512	8466688	16980	5240017	16497	6651879	512
joint-64	8342921	20632	SC2 pg.	15	joint-64	8342921	20632	5240017	16497	6651879	64
joint-8	7003591	101127	SC2 pg.	15	joint-8	7003591	101127	5240017	16497	6651879	8
matchtigs	8057506	67670	SC2 pg.	15	greedy matchtigs	8057506	67670	5240017	16497	6651879	NA
simplitigs	10086146	346153	SC2 pg.	15	greedy simplitigs	10086146	346153	5240017	16497	6651879	NA
unitigs	23834734	1328195	SC2 pg.	15	unitigs	23834734	1328195	5240017	16497	6651879	NA
eulertigs	24362449	389564	SC2 pg.	31	optimal simplitigs	24362449	389564	12675558	28673	17160604	NA
greedy-maxone	17160693	305051	SC2 pg.	31	greedyMS-maxone	17160693	305051	12675558	28673	17160604	NA
greedy-minone	17160693	389570	SC2 pg.	31	greedyMS-minone	17160693	389570	12675558	28673	17160604	NA
greedy-minrun	17160693	288958	SC2 pg.	31	greedyMS-minrun	17160693	288958	12675558	28673	17160604	NA
joint-1	17164963	286110	SC2 pg.	31	joint-1	17164963	286110	12675558	28673	17160604	1
joint-128	21568122	37373	SC2 pg.	31	joint-128	21568122	37373	12675558	28673	17160604	128
joint-16	17647237	125143	SC2 pg.	31	joint-16	17647237	125143	12675558	28673	17160604	16
joint-2	17209715	227749	SC2 pg.	31	joint-2	17209715	227749	12675558	28673	17160604	2
joint-256	22325508	31428	SC2 pg.	31	joint-256	22325508	31428	12675558	28673	17160604	256
joint-32	18262439	95992	SC2 pg.	31	joint-32	18262439	95992	12675558	28673	17160604	32
joint-4	17308542	173001	SC2 pg.	31	joint-4	17308542	173001	12675558	28673	17160604	4
joint-512	22399923	30782	SC2 pg.	31	joint-512	22399923	30782	12675558	28673	17160604	512
joint-64	19775805	60425	SC2 pg.	31	joint-64	19775805	60425	12675558	28673	17160604	64
joint-8	17417595	147910	SC2 pg.	31	joint-8	17417595	147910	12675558	28673	17160604	8
matchtigs	19608865	114405	SC2 pg.	31	greedy matchtigs	19608865	114405	12675558	28673	17160604	NA
simplitigs	24362719	389573	SC2 pg.	31	greedy simplitigs	24362719	389573	12675558	28673	17160604	NA
unitigs	49244989	1218982	SC2 pg.	31	unitigs	49244989	1218982	12675558	28673	17160604	NA
eulertigs	62583412	519586	SC2 pg.	63	optimal simplitigs	62583412	519586	30369141	41527	43329283	NA
greedy-maxone	43329748	341179	SC2 pg.	63	greedyMS-maxone	43329748	341179	30369141	41527	43329283	NA
greedy-minone	43329748	519592	SC2 pg.	63	greedyMS-minone	43329748	519592	30369141	41527	43329283	NA
greedy-minrun	43329748	328398	SC2 pg.	63	greedyMS-minrun	43329748	328398	30369141	41527	43329283	NA
joint-128	48595349	78767	SC2 pg.	63	joint-128	48595349	78767	30369141	41527	43329283	128
joint-1	43333887	331648	SC2 pg.	63	joint-1	43333887	331648	30369141	41527	43329283	1
joint-16	43782229	172091	SC2 pg.	63	joint-16	43782229	172091	30369141	41527	43329283	16
joint-2	43371125	274465	SC2 pg.	63	joint-2	43371125	274465	30369141	41527	43329283	2
joint-256	52752499	53770	SC2 pg.	63	joint-256	52752499	53770	30369141	41527	43329283	256
joint-32	44347095	144538	SC2 pg.	63	joint-32	44347095	144538	30369141	41527	43329283	32
joint-4	43461002	221006	SC2 pg.	63	joint-4	43461002	221006	30369141	41527	43329283	4
joint-512	55555960	44503	SC2 pg.	63	joint-512	55555960	44503	30369141	41527	43329283	512
joint-64	45681126	112862	SC2 pg.	63	joint-64	45681126	112862	30369141	41527	43329283	64
joint-8	43563209	195254	SC2 pg.	63	joint-8	43563209	195254	30369141	41527	43329283	8
matchtigs	48180166	135920	SC2 pg.	63	greedy matchtigs	48180166	135920	30369141	41527	43329283	NA
simplitigs	62583598	519589	SC2 pg.	63	greedy simplitigs	62583598	519589	30369141	41527	43329283	NA
unitigs	131239608	1626944	SC2 pg.	63	unitigs	131239608	1626944	30369141	41527	43329283	NA
